Searching for directories that have exceeded 5 megabytes
    Size (mb)  Files  Directory
         2.88    321  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\jewell\DLFERMIFallForum2003_files
         2.66    297  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\jewell\RevDLFERMIFallForum2003_files
         0.00      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\keller
         0.50     89  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\keller\DLF-keller-031118_files
         0.00      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\lally
         0.81     76  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\lally\DLF-lally-graham_files
         0.32      7  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\lockss
         0.65    197  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\lockss\DLF-LOCKSS-halbert_files
         2.18    184  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\lockss\DLF-lockss-robertson_files
         0.21     78  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\lockss\dlf-lockss-willett_files
         0.00      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\mcdonough
         1.86    128  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\mcdonough\DLF-mcdonough-PreservationVideo_files
         0.00      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\nakao
         1.47    113  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\nakao\DEWI_DLF2003_files
         0.01      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\ndiipp
         0.56     69  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\ndiipp\LoC Architecture DLF_files
